Geography,Industry,Year,Industry GDP
Newfoundland and Labrador,Goods-producing industries,1999,8293.9
Newfoundland and Labrador,Goods-producing industries,2000,9305.3
Newfoundland and Labrador,Goods-producing industries,2001,9596.3
Newfoundland and Labrador,Goods-producing industries,2002,13434.9
Newfoundland and Labrador,Goods-producing industries,2003,15213.9
Newfoundland and Labrador,Goods-producing industries,2004,14740.4
Newfoundland and Labrador,Goods-producing industries,2005,15062.6
Newfoundland and Labrador,Goods-producing industries,2006,15804.4
Newfoundland and Labrador,Goods-producing industries,2007,19105.7
Newfoundland and Labrador,Goods-producing industries,2008,18146.2
Newfoundland and Labrador,Goods-producing industries,2009,14891.9
Newfoundland and Labrador,Goods-producing industries,2010,16048.3
Newfoundland and Labrador,Goods-producing industries,2011,16447.7
Newfoundland and Labrador,Goods-producing industries,2012,14709.0
Newfoundland and Labrador,Goods-producing industries,2013,16022.7
Newfoundland and Labrador,Goods-producing industries,2014,15384.9
Newfoundland and Labrador,Goods-producing industries,2015,14913.2
Newfoundland and Labrador,Goods-producing industries,2016,15333.4
Newfoundland and Labrador,Goods-producing industries,2017,15635.7
Newfoundland and Labrador,Goods-producing industries,2018,14359.9
Newfoundland and Labrador,Goods-producing industries,2019,15497.6
Newfoundland and Labrador,Service-producing industries,1999,11370.5
Newfoundland and Labrador,Service-producing industries,2000,11655.7
Newfoundland and Labrador,Service-producing industries,2001,11855.9
Newfoundland and Labrador,Service-producing industries,2002,12318.4
Newfoundland and Labrador,Service-producing industries,2003,12588.7
Newfoundland and Labrador,Service-producing industries,2004,12688.3
Newfoundland and Labrador,Service-producing industries,2005,13053.3
Newfoundland and Labrador,Service-producing industries,2006,13359.0
Newfoundland and Labrador,Service-producing industries,2007,13432.9
Newfoundland and Labrador,Service-producing industries,2008,13832.1
Newfoundland and Labrador,Service-producing industries,2009,13983.9
Newfoundland and Labrador,Service-producing industries,2010,14415.4
Newfoundland and Labrador,Service-producing industries,2011,14917.0
Newfoundland and Labrador,Service-producing industries,2012,15268.1
Newfoundland and Labrador,Service-producing industries,2013,15482.4
Newfoundland and Labrador,Service-producing industries,2014,15767.0
Newfoundland and Labrador,Service-producing industries,2015,15875.5
Newfoundland and Labrador,Service-producing industries,2016,15977.6
Newfoundland and Labrador,Service-producing industries,2017,16092.1
Newfoundland and Labrador,Service-producing industries,2018,16142.7
Newfoundland and Labrador,Service-producing industries,2019,16310.5
Newfoundland and Labrador,Industrial production,1999,5996.1
Newfoundland and Labrador,Industrial production,2000,7315.5
Newfoundland and Labrador,Industrial production,2001,7413.7
Newfoundland and Labrador,Industrial production,2002,11565.1
Newfoundland and Labrador,Industrial production,2003,13433.9
Newfoundland and Labrador,Industrial production,2004,12731.6
Newfoundland and Labrador,Industrial production,2005,13107.3
Newfoundland and Labrador,Industrial production,2006,14014.7
Newfoundland and Labrador,Industrial production,2007,17313.4
Newfoundland and Labrador,Industrial production,2008,16118.6
Newfoundland and Labrador,Industrial production,2009,12734.6
Newfoundland and Labrador,Industrial production,2010,13641.8
Newfoundland and Labrador,Industrial production,2011,13749.0
Newfoundland and Labrador,Industrial production,2012,11542.6
Newfoundland and Labrador,Industrial production,2013,12475.0
Newfoundland and Labrador,Industrial production,2014,11556.1
Newfoundland and Labrador,Industrial production,2015,10876.1
Newfoundland and Labrador,Industrial production,2016,11781.5
Newfoundland and Labrador,Industrial production,2017,12591.6
Newfoundland and Labrador,Industrial production,2018,12308.3
Newfoundland and Labrador,Industrial production,2019,13462.0
Newfoundland and Labrador,Non-durable manufacturing industries,1999,595.6
Newfoundland and Labrador,Non-durable manufacturing industries,2000,592.5
Newfoundland and Labrador,Non-durable manufacturing industries,2001,503.9
Newfoundland and Labrador,Non-durable manufacturing industries,2002,588.1
Newfoundland and Labrador,Non-durable manufacturing industries,2003,636.1
Newfoundland and Labrador,Non-durable manufacturing industries,2004,662.9
Newfoundland and Labrador,Non-durable manufacturing industries,2005,592.7
Newfoundland and Labrador,Non-durable manufacturing industries,2006,649.4
Newfoundland and Labrador,Non-durable manufacturing industries,2007,681.9
Newfoundland and Labrador,Non-durable manufacturing industries,2008,725.4
Newfoundland and Labrador,Non-durable manufacturing industries,2009,626.0
Newfoundland and Labrador,Non-durable manufacturing industries,2010,611.6
Newfoundland and Labrador,Non-durable manufacturing industries,2011,578.6
Newfoundland and Labrador,Non-durable manufacturing industries,2012,664.2
Newfoundland and Labrador,Non-durable manufacturing industries,2013,625.5
Newfoundland and Labrador,Non-durable manufacturing industries,2014,570.4
Newfoundland and Labrador,Non-durable manufacturing industries,2015,568.4
Newfoundland and Labrador,Non-durable manufacturing industries,2016,557.1
Newfoundland and Labrador,Non-durable manufacturing industries,2017,555.7
Newfoundland and Labrador,Non-durable manufacturing industries,2018,523.4
Newfoundland and Labrador,Non-durable manufacturing industries,2019,539.9
Newfoundland and Labrador,Durable manufacturing industries,1999,253.9
Newfoundland and Labrador,Durable manufacturing industries,2000,260.6
Newfoundland and Labrador,Durable manufacturing industries,2001,247.3
Newfoundland and Labrador,Durable manufacturing industries,2002,210.1
Newfoundland and Labrador,Durable manufacturing industries,2003,299.5
Newfoundland and Labrador,Durable manufacturing industries,2004,262.8
Newfoundland and Labrador,Durable manufacturing industries,2005,294.2
Newfoundland and Labrador,Durable manufacturing industries,2006,212.1
Newfoundland and Labrador,Durable manufacturing industries,2007,196.8
Newfoundland and Labrador,Durable manufacturing industries,2008,192.9
Newfoundland and Labrador,Durable manufacturing industries,2009,170.4
Newfoundland and Labrador,Durable manufacturing industries,2010,191.0
Newfoundland and Labrador,Durable manufacturing industries,2011,219.5
Newfoundland and Labrador,Durable manufacturing industries,2012,221.1
Newfoundland and Labrador,Durable manufacturing industries,2013,258.2
Newfoundland and Labrador,Durable manufacturing industries,2014,292.9
Newfoundland and Labrador,Durable manufacturing industries,2015,362.6
Newfoundland and Labrador,Durable manufacturing industries,2016,245.9
Newfoundland and Labrador,Durable manufacturing industries,2017,213.8
Newfoundland and Labrador,Durable manufacturing industries,2018,252.0
Newfoundland and Labrador,Durable manufacturing industries,2019,250.4
Newfoundland and Labrador,Information and communication technology sector,1999,438.4
Newfoundland and Labrador,Information and communication technology sector,2000,515.0
Newfoundland and Labrador,Information and communication technology sector,2001,505.9
Newfoundland and Labrador,Information and communication technology sector,2002,597.5
Newfoundland and Labrador,Information and communication technology sector,2003,600.0
Newfoundland and Labrador,Information and communication technology sector,2004,619.5
Newfoundland and Labrador,Information and communication technology sector,2005,617.5
Newfoundland and Labrador,Information and communication technology sector,2006,665.4
Newfoundland and Labrador,Information and communication technology sector,2007,620.5
Newfoundland and Labrador,Information and communication technology sector,2008,646.5
Newfoundland and Labrador,Information and communication technology sector,2009,637.0
Newfoundland and Labrador,Information and communication technology sector,2010,684.9
Newfoundland and Labrador,Information and communication technology sector,2011,735.9
Newfoundland and Labrador,Information and communication technology sector,2012,733.5
Newfoundland and Labrador,Information and communication technology sector,2013,699.6
Newfoundland and Labrador,Information and communication technology sector,2014,709.3
Newfoundland and Labrador,Information and communication technology sector,2015,751.4
Newfoundland and Labrador,Information and communication technology sector,2016,786.4
Newfoundland and Labrador,Information and communication technology sector,2017,821.4
Newfoundland and Labrador,Information and communication technology sector,2018,837.2
Newfoundland and Labrador,Information and communication technology sector,2019,888.1
Newfoundland and Labrador,Energy sector,1999,3836.3
Newfoundland and Labrador,Energy sector,2000,4930.6
Newfoundland and Labrador,Energy sector,2001,5604.7
Newfoundland and Labrador,Energy sector,2002,10105.9
Newfoundland and Labrador,Energy sector,2003,11659.8
Newfoundland and Labrador,Energy sector,2004,11092.1
Newfoundland and Labrador,Energy sector,2005,11041.9
Newfoundland and Labrador,Energy sector,2006,11179.1
Newfoundland and Labrador,Energy sector,2007,13704.3
Newfoundland and Labrador,Energy sector,2008,12788.7
Newfoundland and Labrador,Energy sector,2009,10153.9
Newfoundland and Labrador,Energy sector,2010,10695.0
Newfoundland and Labrador,Energy sector,2011,10473.7
Newfoundland and Labrador,Energy sector,2012,8131.5
Newfoundland and Labrador,Energy sector,2013,9028.7
Newfoundland and Labrador,Energy sector,2014,8442.8
Newfoundland and Labrador,Energy sector,2015,7281.4
Newfoundland and Labrador,Energy sector,2016,8561.6
Newfoundland and Labrador,Energy sector,2017,9143.2
Newfoundland and Labrador,Energy sector,2018,9655.9
Newfoundland and Labrador,Energy sector,2019,10644.5
Newfoundland and Labrador,Public sector,1999,4866.0
Newfoundland and Labrador,Public sector,2000,4977.8
Newfoundland and Labrador,Public sector,2001,5066.2
Newfoundland and Labrador,Public sector,2002,5215.4
Newfoundland and Labrador,Public sector,2003,5325.6
Newfoundland and Labrador,Public sector,2004,5317.0
Newfoundland and Labrador,Public sector,2005,5419.2
Newfoundland and Labrador,Public sector,2006,5462.2
Newfoundland and Labrador,Public sector,2007,5391.8
Newfoundland and Labrador,Public sector,2008,5568.2
Newfoundland and Labrador,Public sector,2009,5733.9
Newfoundland and Labrador,Public sector,2010,5851.9
Newfoundland and Labrador,Public sector,2011,5963.8
Newfoundland and Labrador,Public sector,2012,6004.3
Newfoundland and Labrador,Public sector,2013,5930.4
Newfoundland and Labrador,Public sector,2014,5906.4
Newfoundland and Labrador,Public sector,2015,5962.3
Newfoundland and Labrador,Public sector,2016,5985.8
Newfoundland and Labrador,Public sector,2017,6023.2
Newfoundland and Labrador,Public sector,2018,6096.4
Newfoundland and Labrador,Public sector,2019,6166.7
Newfoundland and Labrador,Cannabis sector,1999,14.8
Newfoundland and Labrador,Cannabis sector,2000,15.1
Newfoundland and Labrador,Cannabis sector,2001,15.9
Newfoundland and Labrador,Cannabis sector,2002,16.0
Newfoundland and Labrador,Cannabis sector,2003,16.5
Newfoundland and Labrador,Cannabis sector,2004,17.0
Newfoundland and Labrador,Cannabis sector,2005,18.0
Newfoundland and Labrador,Cannabis sector,2006,18.9
Newfoundland and Labrador,Cannabis sector,2007,19.5
Newfoundland and Labrador,Cannabis sector,2008,19.8
Newfoundland and Labrador,Cannabis sector,2009,21.1
Newfoundland and Labrador,Cannabis sector,2010,21.8
Newfoundland and Labrador,Cannabis sector,2011,23.2
Newfoundland and Labrador,Cannabis sector,2012,24.4
Newfoundland and Labrador,Cannabis sector,2013,25.7
Newfoundland and Labrador,Cannabis sector,2014,26.8
Newfoundland and Labrador,Cannabis sector,2015,26.9
Newfoundland and Labrador,Cannabis sector,2016,26.3
Newfoundland and Labrador,Cannabis sector,2017,25.8
Newfoundland and Labrador,Cannabis sector,2018,28.9
Newfoundland and Labrador,Cannabis sector,2019,33.3
Newfoundland and Labrador,Agriculture forestry fishing and hunting,1999,451.9
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2000,432.9
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2001,414.2
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2002,422.2
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2003,443.1
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2004,484.0
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2005,405.9
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2006,420.8
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2007,426.0
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2008,447.9
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2009,440.2
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2010,461.0
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2011,454.3
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2012,450.4
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2013,450.2
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2014,386.1
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2015,378.2
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2016,344.5
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2017,299.6
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2018,280.0
Newfoundland and Labrador,Agriculture forestry fishing and hunting,2019,283.3
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,1999,3696.6
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2000,5347.3
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2001,5738.6
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2002,10379.1
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2003,12229.1
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2004,11420.1
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2005,11816.1
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2006,12750.6
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2007,16188.1
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2008,14856.2
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2009,11506.9
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2010,12419.2
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2011,12553.6
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2012,10040.6
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2013,11076.9
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2014,10178.4
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2015,9252.9
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2016,10616.2
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2017,11632.8
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2018,11267.2
Newfoundland and Labrador,Mining quarrying and oil and gas extraction,2019,12519.7
Newfoundland and Labrador,Utilities,1999,487.6
Newfoundland and Labrador,Utilities,2000,452.7
Newfoundland and Labrador,Utilities,2001,442.8
Newfoundland and Labrador,Utilities,2002,475.2
Newfoundland and Labrador,Utilities,2003,482.2
Newfoundland and Labrador,Utilities,2004,494.8
Newfoundland and Labrador,Utilities,2005,538.4
Newfoundland and Labrador,Utilities,2006,560.8
Newfoundland and Labrador,Utilities,2007,553.5
Newfoundland and Labrador,Utilities,2008,569.9
Newfoundland and Labrador,Utilities,2009,518.4
Newfoundland and Labrador,Utilities,2010,578.4
Newfoundland and Labrador,Utilities,2011,589.3
Newfoundland and Labrador,Utilities,2012,584.8
Newfoundland and Labrador,Utilities,2013,563.8
Newfoundland and Labrador,Utilities,2014,556.1
Newfoundland and Labrador,Utilities,2015,608.4
Newfoundland and Labrador,Utilities,2016,622.6
Newfoundland and Labrador,Utilities,2017,634.1
Newfoundland and Labrador,Utilities,2018,657.4
Newfoundland and Labrador,Utilities,2019,657.9
Newfoundland and Labrador,Construction,1999,1466.0
Newfoundland and Labrador,Construction,2000,1272.2
Newfoundland and Labrador,Construction,2001,1511.8
Newfoundland and Labrador,Construction,2002,1382.2
Newfoundland and Labrador,Construction,2003,1337.9
Newfoundland and Labrador,Construction,2004,1462.8
Newfoundland and Labrador,Construction,2005,1546.1
Newfoundland and Labrador,Construction,2006,1331.4
Newfoundland and Labrador,Construction,2007,1288.3
Newfoundland and Labrador,Construction,2008,1561.6
Newfoundland and Labrador,Construction,2009,1680.1
Newfoundland and Labrador,Construction,2010,1891.2
Newfoundland and Labrador,Construction,2011,2204.8
Newfoundland and Labrador,Construction,2012,2747.9
Newfoundland and Labrador,Construction,2013,3144.1
Newfoundland and Labrador,Construction,2014,3494.0
Newfoundland and Labrador,Construction,2015,3610.8
Newfoundland and Labrador,Construction,2016,3446.5
Newfoundland and Labrador,Construction,2017,3271.5
Newfoundland and Labrador,Construction,2018,2515.5
Newfoundland and Labrador,Construction,2019,2622.8
Newfoundland and Labrador,Manufacturing,1999,836.3
Newfoundland and Labrador,Manufacturing,2000,839.1
Newfoundland and Labrador,Manufacturing,2001,734.0
Newfoundland and Labrador,Manufacturing,2002,795.1
Newfoundland and Labrador,Manufacturing,2003,922.9
Newfoundland and Labrador,Manufacturing,2004,917.8
Newfoundland and Labrador,Manufacturing,2005,874.7
Newfoundland and Labrador,Manufacturing,2006,866.0
Newfoundland and Labrador,Manufacturing,2007,889.3
Newfoundland and Labrador,Manufacturing,2008,934.4
Newfoundland and Labrador,Manufacturing,2009,809.1
Newfoundland and Labrador,Manufacturing,2010,807.3
Newfoundland and Labrador,Manufacturing,2011,787.9
Newfoundland and Labrador,Manufacturing,2012,885.3
Newfoundland and Labrador,Manufacturing,2013,868.2
Newfoundland and Labrador,Manufacturing,2014,828.1
Newfoundland and Labrador,Manufacturing,2015,891.6
Newfoundland and Labrador,Manufacturing,2016,781.9
Newfoundland and Labrador,Manufacturing,2017,755.1
Newfoundland and Labrador,Manufacturing,2018,756.5
Newfoundland and Labrador,Manufacturing,2019,770.6
Newfoundland and Labrador,Wholesale trade,1999,373.4
Newfoundland and Labrador,Wholesale trade,2000,381.4
Newfoundland and Labrador,Wholesale trade,2001,384.4
Newfoundland and Labrador,Wholesale trade,2002,394.5
Newfoundland and Labrador,Wholesale trade,2003,406.2
Newfoundland and Labrador,Wholesale trade,2004,420.2
Newfoundland and Labrador,Wholesale trade,2005,432.0
Newfoundland and Labrador,Wholesale trade,2006,449.1
Newfoundland and Labrador,Wholesale trade,2007,480.7
Newfoundland and Labrador,Wholesale trade,2008,505.0
Newfoundland and Labrador,Wholesale trade,2009,473.6
Newfoundland and Labrador,Wholesale trade,2010,531.2
Newfoundland and Labrador,Wholesale trade,2011,643.1
Newfoundland and Labrador,Wholesale trade,2012,687.9
Newfoundland and Labrador,Wholesale trade,2013,732.8
Newfoundland and Labrador,Wholesale trade,2014,738.3
Newfoundland and Labrador,Wholesale trade,2015,715.8
Newfoundland and Labrador,Wholesale trade,2016,684.2
Newfoundland and Labrador,Wholesale trade,2017,670.0
Newfoundland and Labrador,Wholesale trade,2018,652.6
Newfoundland and Labrador,Wholesale trade,2019,643.7
Newfoundland and Labrador,Retail trade,1999,887.1
Newfoundland and Labrador,Retail trade,2000,945.1
Newfoundland and Labrador,Retail trade,2001,989.8
Newfoundland and Labrador,Retail trade,2002,1047.5
Newfoundland and Labrador,Retail trade,2003,1076.3
Newfoundland and Labrador,Retail trade,2004,1107.7
Newfoundland and Labrador,Retail trade,2005,1145.0
Newfoundland and Labrador,Retail trade,2006,1191.7
Newfoundland and Labrador,Retail trade,2007,1261.7
Newfoundland and Labrador,Retail trade,2008,1325.8
Newfoundland and Labrador,Retail trade,2009,1347.5
Newfoundland and Labrador,Retail trade,2010,1400.7
Newfoundland and Labrador,Retail trade,2011,1434.5
Newfoundland and Labrador,Retail trade,2012,1477.1
Newfoundland and Labrador,Retail trade,2013,1585.3
Newfoundland and Labrador,Retail trade,2014,1617.6
Newfoundland and Labrador,Retail trade,2015,1584.1
Newfoundland and Labrador,Retail trade,2016,1588.8
Newfoundland and Labrador,Retail trade,2017,1587.7
Newfoundland and Labrador,Retail trade,2018,1539.7
Newfoundland and Labrador,Retail trade,2019,1526.8
Newfoundland and Labrador,Transportation and warehousing,1999,611.6
Newfoundland and Labrador,Transportation and warehousing,2000,611.4
Newfoundland and Labrador,Transportation and warehousing,2001,608.3
Newfoundland and Labrador,Transportation and warehousing,2002,612.2
Newfoundland and Labrador,Transportation and warehousing,2003,662.5
Newfoundland and Labrador,Transportation and warehousing,2004,633.7
Newfoundland and Labrador,Transportation and warehousing,2005,695.2
Newfoundland and Labrador,Transportation and warehousing,2006,716.5
Newfoundland and Labrador,Transportation and warehousing,2007,708.2
Newfoundland and Labrador,Transportation and warehousing,2008,722.3
Newfoundland and Labrador,Transportation and warehousing,2009,665.0
Newfoundland and Labrador,Transportation and warehousing,2010,693.3
Newfoundland and Labrador,Transportation and warehousing,2011,717.0
Newfoundland and Labrador,Transportation and warehousing,2012,762.8
Newfoundland and Labrador,Transportation and warehousing,2013,776.2
Newfoundland and Labrador,Transportation and warehousing,2014,851.1
Newfoundland and Labrador,Transportation and warehousing,2015,881.8
Newfoundland and Labrador,Transportation and warehousing,2016,918.2
Newfoundland and Labrador,Transportation and warehousing,2017,968.2
Newfoundland and Labrador,Transportation and warehousing,2018,940.6
Newfoundland and Labrador,Transportation and warehousing,2019,965.4
Newfoundland and Labrador,Information and cultural industries,1999,486.5
Newfoundland and Labrador,Information and cultural industries,2000,552.4
Newfoundland and Labrador,Information and cultural industries,2001,540.7
Newfoundland and Labrador,Information and cultural industries,2002,627.5
Newfoundland and Labrador,Information and cultural industries,2003,619.7
Newfoundland and Labrador,Information and cultural industries,2004,619.0
Newfoundland and Labrador,Information and cultural industries,2005,606.7
Newfoundland and Labrador,Information and cultural industries,2006,661.0
Newfoundland and Labrador,Information and cultural industries,2007,612.1
Newfoundland and Labrador,Information and cultural industries,2008,613.8
Newfoundland and Labrador,Information and cultural industries,2009,642.3
Newfoundland and Labrador,Information and cultural industries,2010,680.6
Newfoundland and Labrador,Information and cultural industries,2011,691.8
Newfoundland and Labrador,Information and cultural industries,2012,687.7
Newfoundland and Labrador,Information and cultural industries,2013,661.3
Newfoundland and Labrador,Information and cultural industries,2014,677.0
Newfoundland and Labrador,Information and cultural industries,2015,712.0
Newfoundland and Labrador,Information and cultural industries,2016,738.6
Newfoundland and Labrador,Information and cultural industries,2017,742.0
Newfoundland and Labrador,Information and cultural industries,2018,736.9
Newfoundland and Labrador,Information and cultural industries,2019,747.8
Newfoundland and Labrador,Finance and insurance,1999,785.8
Newfoundland and Labrador,Finance and insurance,2000,748.2
Newfoundland and Labrador,Finance and insurance,2001,725.3
Newfoundland and Labrador,Finance and insurance,2002,738.8
Newfoundland and Labrador,Finance and insurance,2003,720.7
Newfoundland and Labrador,Finance and insurance,2004,735.8
Newfoundland and Labrador,Finance and insurance,2005,765.3
Newfoundland and Labrador,Finance and insurance,2006,808.3
Newfoundland and Labrador,Finance and insurance,2007,814.9
Newfoundland and Labrador,Finance and insurance,2008,834.2
Newfoundland and Labrador,Finance and insurance,2009,811.6
Newfoundland and Labrador,Finance and insurance,2010,828.6
Newfoundland and Labrador,Finance and insurance,2011,859.9
Newfoundland and Labrador,Finance and insurance,2012,877.0
Newfoundland and Labrador,Finance and insurance,2013,889.0
Newfoundland and Labrador,Finance and insurance,2014,880.6
Newfoundland and Labrador,Finance and insurance,2015,900.5
Newfoundland and Labrador,Finance and insurance,2016,913.5
Newfoundland and Labrador,Finance and insurance,2017,918.1
Newfoundland and Labrador,Finance and insurance,2018,901.8
Newfoundland and Labrador,Finance and insurance,2019,924.2
Newfoundland and Labrador,Real estate and rental and leasing,1999,1699.4
Newfoundland and Labrador,Real estate and rental and leasing,2000,1725.7
Newfoundland and Labrador,Real estate and rental and leasing,2001,1747.9
Newfoundland and Labrador,Real estate and rental and leasing,2002,1777.4
Newfoundland and Labrador,Real estate and rental and leasing,2003,1843.3
Newfoundland and Labrador,Real estate and rental and leasing,2004,1866.2
Newfoundland and Labrador,Real estate and rental and leasing,2005,1973.9
Newfoundland and Labrador,Real estate and rental and leasing,2006,2018.2
Newfoundland and Labrador,Real estate and rental and leasing,2007,2050.8
Newfoundland and Labrador,Real estate and rental and leasing,2008,2112.1
Newfoundland and Labrador,Real estate and rental and leasing,2009,2168.0
Newfoundland and Labrador,Real estate and rental and leasing,2010,2232.0
Newfoundland and Labrador,Real estate and rental and leasing,2011,2321.4
Newfoundland and Labrador,Real estate and rental and leasing,2012,2412.2
Newfoundland and Labrador,Real estate and rental and leasing,2013,2530.1
Newfoundland and Labrador,Real estate and rental and leasing,2014,2653.7
Newfoundland and Labrador,Real estate and rental and leasing,2015,2724.0
Newfoundland and Labrador,Real estate and rental and leasing,2016,2756.0
Newfoundland and Labrador,Real estate and rental and leasing,2017,2790.0
Newfoundland and Labrador,Real estate and rental and leasing,2018,2843.8
Newfoundland and Labrador,Real estate and rental and leasing,2019,2860.9
Newfoundland and Labrador,Professional scientific and technical services,1999,582.3
Newfoundland and Labrador,Professional scientific and technical services,2000,618.1
Newfoundland and Labrador,Professional scientific and technical services,2001,643.2
Newfoundland and Labrador,Professional scientific and technical services,2002,668.8
Newfoundland and Labrador,Professional scientific and technical services,2003,669.1
Newfoundland and Labrador,Professional scientific and technical services,2004,664.5
Newfoundland and Labrador,Professional scientific and technical services,2005,716.8
Newfoundland and Labrador,Professional scientific and technical services,2006,725.9
Newfoundland and Labrador,Professional scientific and technical services,2007,723.2
Newfoundland and Labrador,Professional scientific and technical services,2008,762.6
Newfoundland and Labrador,Professional scientific and technical services,2009,728.2
Newfoundland and Labrador,Professional scientific and technical services,2010,735.2
Newfoundland and Labrador,Professional scientific and technical services,2011,779.2
Newfoundland and Labrador,Professional scientific and technical services,2012,815.2
Newfoundland and Labrador,Professional scientific and technical services,2013,803.0
Newfoundland and Labrador,Professional scientific and technical services,2014,855.9
Newfoundland and Labrador,Professional scientific and technical services,2015,824.8
Newfoundland and Labrador,Professional scientific and technical services,2016,818.8
Newfoundland and Labrador,Professional scientific and technical services,2017,824.6
Newfoundland and Labrador,Professional scientific and technical services,2018,869.6
Newfoundland and Labrador,Professional scientific and technical services,2019,880.2
Newfoundland and Labrador,Management of companies and enterprises,1999,83.1
Newfoundland and Labrador,Management of companies and enterprises,2000,98.5
Newfoundland and Labrador,Management of companies and enterprises,2001,122.8
Newfoundland and Labrador,Management of companies and enterprises,2002,137.4
Newfoundland and Labrador,Management of companies and enterprises,2003,142.5
Newfoundland and Labrador,Management of companies and enterprises,2004,144.1
Newfoundland and Labrador,Management of companies and enterprises,2005,103.8
Newfoundland and Labrador,Management of companies and enterprises,2006,103.7
Newfoundland and Labrador,Management of companies and enterprises,2007,112.2
Newfoundland and Labrador,Management of companies and enterprises,2008,117.5
Newfoundland and Labrador,Management of companies and enterprises,2009,122.4
Newfoundland and Labrador,Management of companies and enterprises,2010,112.8
Newfoundland and Labrador,Management of companies and enterprises,2011,122.2
Newfoundland and Labrador,Management of companies and enterprises,2012,131.7
Newfoundland and Labrador,Management of companies and enterprises,2013,127.9
Newfoundland and Labrador,Management of companies and enterprises,2014,117.4
Newfoundland and Labrador,Management of companies and enterprises,2015,114.8
Newfoundland and Labrador,Management of companies and enterprises,2016,96.9
Newfoundland and Labrador,Management of companies and enterprises,2017,89.1
Newfoundland and Labrador,Management of companies and enterprises,2018,76.5
Newfoundland and Labrador,Management of companies and enterprises,2019,63.5
Newfoundland and Labrador,Administrative and support waste management and remediation services,1999,232.1
Newfoundland and Labrador,Administrative and support waste management and remediation services,2000,226.6
Newfoundland and Labrador,Administrative and support waste management and remediation services,2001,251.9
Newfoundland and Labrador,Administrative and support waste management and remediation services,2002,259.0
Newfoundland and Labrador,Administrative and support waste management and remediation services,2003,264.6
Newfoundland and Labrador,Administrative and support waste management and remediation services,2004,287.9
Newfoundland and Labrador,Administrative and support waste management and remediation services,2005,316.2
Newfoundland and Labrador,Administrative and support waste management and remediation services,2006,336.0
Newfoundland and Labrador,Administrative and support waste management and remediation services,2007,365.0
Newfoundland and Labrador,Administrative and support waste management and remediation services,2008,338.5
Newfoundland and Labrador,Administrative and support waste management and remediation services,2009,335.6
Newfoundland and Labrador,Administrative and support waste management and remediation services,2010,349.2
Newfoundland and Labrador,Administrative and support waste management and remediation services,2011,358.0
Newfoundland and Labrador,Administrative and support waste management and remediation services,2012,375.1
Newfoundland and Labrador,Administrative and support waste management and remediation services,2013,367.8
Newfoundland and Labrador,Administrative and support waste management and remediation services,2014,378.9
Newfoundland and Labrador,Administrative and support waste management and remediation services,2015,357.7
Newfoundland and Labrador,Administrative and support waste management and remediation services,2016,376.2
Newfoundland and Labrador,Administrative and support waste management and remediation services,2017,367.9
Newfoundland and Labrador,Administrative and support waste management and remediation services,2018,358.2
Newfoundland and Labrador,Administrative and support waste management and remediation services,2019,371.9
Newfoundland and Labrador,Educational services,1999,1381.9
Newfoundland and Labrador,Educational services,2000,1423.2
Newfoundland and Labrador,Educational services,2001,1429.3
Newfoundland and Labrador,Educational services,2002,1474.7
